name,RABD670,TChl-a,locality,OC

Sample1,1.12715,241.6,Jacno,

Sample2,1.14974,321.62,Jacno,

Sample3,1.10879,218.4,Jacno,

Sample4,1.08648,174.52,Jacno,

Sample5,1.085119,164.14,Jacno,

Sample6,1.1441,198.09,Jacno,

Sample7,1.1433,111.68,Jacno,

Sample8,1.1461,112.73,Jacno,

Sample9,1.206,192.91,Jacno,

Sample10,1.182166,167.37,Jacno,

Sample11,1.14169,148.01,Jacno,

Sample12,1.11383,117.63,Jacno,

Sample13,1.07203,50.5,Jacno,

Sample14,1.0565,57.91,Jacno,

Sample15,1.11955,124.72,Jacno,

Sample16,1.22092,315.07,Jacno,

Sample17,1.17687,230.16,Jacno,

Sample18,1.17915,149.15,Jacno,

Sample19,1.18845,211.66,Jacno,

Sample20,1.13601,121.03,Jacno,

Sample21,1.15752,199.43,Jacno,

Sample22,1.12669,130.73,Jacno,

Sample23,1.12205,87.62,Jacno,

Sample24,1.13862,109.02,Jacno,

Sample25,1.12276,69.09,Jacno,

Sample26,1.06366,32.23,Jacno,

Sample27,1.0863,40.23,Jacno,

Sample28,1.14424,76.93,Jacno,

Sample29,1.11125,,Jacno,

Sample30,1.10441,59.28,Jacno,

Sample31,1.12923,105.32,Jacno,

Sample32,1.12648,85.44,Jacno,

21,1.00561,0.353,Auel,

19,1.01327,3.828,Auel,

20,1.00719,0.565,Auel,

17,1.04072,13.992,Auel,

18,1.03334,11.127,Auel,

16,1.01836,6.038,Auel,

15,1.0408,15.991,Auel,

13,1.03315,12.276,Auel,

14,1.02329,7.858,Auel,

12,1.00462,0,Auel,

11,1.0069,0,Auel,

10,1.01874,6.303,Auel,

9,1.02047,9.897,Auel,

7,1.08649,38.475,Auel,

8,1.06294,24.69,Auel,

6,1.00296,0,Auel,

4,1.03464,17.204,Auel,

1,1.08856,75.454,Auel,

3,1.0535,22.898,Auel,

2,1.05454,28.144,Auel,

31,1.11408,89.019,Auel,

30,1.05834,12.328,Auel,

29,1.08228,32.889,Auel,

28,1.05536,23.742,Auel,

26,1.10786,50.722,Auel,

27,1.06197,34.713,Auel,

25,1.06697,31.473,Auel,

24,1.08205,49.582,Auel,

23,1.01734,9.099,Auel,

22,1.07016,21.877,Auel,

32,1.09328,77.626,Auel,

10_07_360,1.048118333,28.02107553,Holzmaar,

10_07_360_r,1.048118333,28.31264204,Holzmaar,

10_07_380,1.042565833,27.2210298,Holzmaar,

10_07_500_r,1.0469675,23.08173513,Holzmaar,

10_07_500_r1,1.0469675,22.99496169,Holzmaar,

10_07_500_r2,1.0469675,23.06595814,Holzmaar,

10_07_500_r3,1.0469675,23.19217406,Holzmaar,

10_07_520,1.067336667,32.95151722,Holzmaar,

10_07_540,1.049569167,20.28049824,Holzmaar,

10_07_780,1.070840833,29.01758078,Holzmaar,

10_07_780_r,1.070840833,28.30029227,Holzmaar,

10_07_800,1.042721667,21.28434439,Holzmaar,

10_07_800_r,1.042721667,20.93633353,Holzmaar,

10_08_160,1.054375,23.15688482,Holzmaar,

10_08_500,1.0475625,21.24897675,Holzmaar,

10_08_580,1.0267425,20.21086535,Holzmaar,

10_08_860,1.0365725,18.70136408,Holzmaar,

10_08_880,1.021880833,10.89962902,Holzmaar,

10_08_900,1.018875,6.896278174,Holzmaar,

11_07_760,1.052239167,31.37460327,Holzmaar,

11_07_880,1.057388333,26.75796307,Holzmaar,

11_07_880_r,1.057388333,26.73451174,Holzmaar,

11_07_960,1.057779167,25.1768186,Holzmaar,

11_07_960_r,1.057779167,25.66785585,Holzmaar,

11_08_463,1.0061525,2.638813779,Holzmaar,

11_08_483_r,1.006254167,1.101117867,Holzmaar,

11_08_543,1.002953333,1.049267832,Holzmaar,

11_08_583,1.003495833,1.75499619,Holzmaar,

11_08_623,1.006264167,2.174553499,Holzmaar,

11_08_723,1.003095833,0.875341803,Holzmaar,

11_08_723_r,1.003095833,0.875341803,Holzmaar,

11_08_723_r1,1.003095833,0.700273443,Holzmaar,

11_08_783,1.001640833,1.721609878,Holzmaar,

RZE_1,1.20671,265.5301,Rzezniki,24.74723

RZE_2,1.13485,151.6815,Rzezniki,22.42044

RZE_3,1.13221,110.0223,Rzezniki,21.70835

RZE_4,1.10611,96.03089,Rzezniki,22.40412

RZE_5,1.10949,87.27835,Rzezniki,23.1405

